pharmacy_name,pharmacy_website,search_name,product_url,product_name_hint
Farmatodo,https://www.farmatodo.com.co/,acetaminofen,https://www.farmatodo.com.co/producto/1015519-fraccion-acetaminofen,
Farmatodo,https://www.farmatodo.com.co/,ibuprofeno,https://www.farmatodo.com.co/producto/220000037-ibuprofeno-400mg,
Farmatodo,https://www.farmatodo.com.co/,loratadina,https://www.farmatodo.com.co/producto/1000690,
Farmatodo,https://www.farmatodo.com.co/,suero oral,https://www.farmatodo.com.co/producto/1035036-enterolyte-suero-oral,
Farmatodo,https://www.farmatodo.com.co/,omeprazol 20 mg,https://www.farmatodo.com.co/producto/1002495,
Farmatodo,https://www.farmatodo.com.co/,amoxicilina 500 mg,https://www.farmatodo.com.co/producto/219850093-amoxicilina-500mg,
Farmatodo,https://www.farmatodo.com.co/,atorvastatina 10 mg,https://www.farmatodo.com.co/producto/218100266-atorvastatina-10-mg-genfar-caja-x-10-tabletas,
Farmatodo,https://www.farmatodo.com.co/,atorvastatina 40 mg,https://www.farmatodo.com.co/producto/226350505,
Farmatodo,https://www.farmatodo.com.co/,diclofenaco 50 mg,https://www.farmatodo.com.co/producto/1000380-diclofenaco-50mg,
Farmatodo,https://www.farmatodo.com.co/,naproxeno 250 mg,https://www.farmatodo.com.co/producto/1002615-naproxeno-genfar-250mg,
Farmatodo,https://www.farmatodo.com.co/,naproxeno 500 mg,https://www.farmatodo.com.co/producto/1002035-naproxeno-genfar-500mg,
Farmatodo,https://www.farmatodo.com.co/,azitromicina 500 mg,https://www.farmatodo.com.co/producto/1002479-azitromicina-genfar-500-mg-caja-x-3-tabletas,
Cruz Verde,https://www.cruzverde.com.co/,acetaminofen,https://beta1.cruzverde.com.co/acetaminofen-tabletas-500mg-blister-x-10/COCV_35878.html,
Cruz Verde,https://www.cruzverde.com.co/,ibuprofeno,https://beta1.cruzverde.com.co/ibuprofeno-400mg-tabletas-recubiertas-blister-x-10/COCV_17398.html,
Cruz Verde,https://www.cruzverde.com.co/,loratadina,https://beta1.cruzverde.com.co/loratadina-10mg-caja-x-10-tabletas/COCV_30920.html,
Cruz Verde,https://www.cruzverde.com.co/,suero oral,https://beta1.cruzverde.com.co/suero-rehidratante-electrolit-solucion-oral-sabor-uva-30meql-frasco-x-625ml/COCV_146775.html,
Cruz Verde,https://www.cruzverde.com.co/,omeprazol 20 mg,https://beta1.cruzverde.com.co/genoprazol-capsulas-20-mg-caja-x-14/COCV_126724.html,
Cruz Verde,https://www.cruzverde.com.co/,amoxicilina 500 mg,https://beta1.cruzverde.com.co/amoxicilina-500mg-c-blister-x-10-capsulas/COCV_75236.html,
Cruz Verde,https://www.cruzverde.com.co/,atorvastatina 10 mg,https://beta1.cruzverde.com.co/atorvastatina-tabletas-recubiertas-10mg-caja-x-10/COCV_17764.html,
Cruz Verde,https://www.cruzverde.com.co/,atorvastatina 40 mg,https://beta1.cruzverde.com.co/atorvastatina-40mg-tabletas-recubiertas-caja-x-10-genfar/COCV_58777.html,
