producto_buscado,producto_encontrado,farmacia,precio_descuento_cop,precio_antes_cop,descuento_porcentaje,validacion_producto,puntaje_coincidencia,notas_validacion,fecha_consulta,url_producto
acetaminofen,Acetaminofen Tabletas 500Mg Blister X 10,Cruz Verde,1645,2350,30.0,ok,100,Producto coincide con el enlace esperado.,2026-05-20T05:51:35.361695+00:00,https://beta1.cruzverde.com.co/acetaminofen-tabletas-500mg-blister-x-10/COCV_35878.html
acetaminofen,Acetaminofen 500 Mg Tableta Genfar,Colsubsidio,2080,2080,,ok,100,Producto coincide con el enlace esperado.,2026-05-20T05:51:35.511417+00:00,https://www.drogueriascolsubsidio.com/acetaminofen-500-mg-tableta-genfar-7702605100019/p
acetaminofen,Acetaminofén 500 Mg Genfar Fracción X 10 Tabletas,Farmatodo,2596,2950,12.0,ok,100,Producto coincide con el enlace esperado.,2026-05-20T05:51:35.211475+00:00,https://www.farmatodo.com.co/producto/1015519-fraccion-acetaminofen
amoxicilina 500 mg,Amoxicilina 500Mg C Blíster X 10 Capsulas,Cruz Verde,6982,7350,5.0,ok,100,Producto coincide con el enlace esperado.,2026-05-20T05:51:35.422290+00:00,https://beta1.cruzverde.com.co/amoxicilina-500mg-c-blister-x-10-capsulas/COCV_75236.html
amoxicilina 500 mg,Amoxicilina 500 mg Cápsula Dura Genfar,Colsubsidio,7780,7780,,ok,100,Producto coincide con el enlace esperado.,2026-05-20T05:51:35.567282+00:00,https://www.drogueriascolsubsidio.com/amoxicilina-500-mg-capsula-dura-genfar-7702605100309/p
amoxicilina 500 mg,Amoxicilina 500 Mg Genfar Fracción Blister X 10 Cápsulas,Farmatodo,8750,,,ok,100,Producto coincide con el enlace esperado.,2026-05-20T05:51:35.271603+00:00,https://www.farmatodo.com.co/producto/219850093-amoxicilina-500mg
atorvastatina 10 mg,Atorvastatina 10 Mg Genfar Caja X 10 Tabletas,Farmatodo,25476,28950,12.0,ok,100,Producto coincide con el enlace esperado.,2026-05-20T05:51:35.284189+00:00,https://www.farmatodo.com.co/producto/218100266-atorvastatina-10-mg-genfar-caja-x-10-tabletas
atorvastatina 10 mg,Atorvastatina Tabletas Recubiertas 10Mg Caja X 10,Cruz Verde,32045,37700,15.0,ok,100,Producto coincide con el enlace esperado.,2026-05-20T05:51:35.434047+00:00,https://beta1.cruzverde.com.co/atorvastatina-tabletas-recubiertas-10mg-caja-x-10/COCV_17764.html
atorvastatina 10 mg,Atorvastatina 10 mg Tableta Recubierta Genfar,Colsubsidio,35550,35550,,ok,100,Producto coincide con el enlace esperado.,2026-05-20T05:51:35.581224+00:00,https://www.drogueriascolsubsidio.com/atorvastatina-10-mg-tableta-recubierta-genfar-7705959885823/p
atorvastatina 40 mg,Atorvastatina 40Mg Tabletas Recubiertas Caja X 10 Genfar,Cruz Verde,43855,62650,30.0,ok,100,Producto coincide con el enlace esperado.,2026-05-20T05:51:35.441670+00:00,https://beta1.cruzverde.com.co/atorvastatina-40mg-tabletas-recubiertas-caja-x-10-genfar/COCV_58777.html
atorvastatina 40 mg,Atorvastatina 40 Mg Tableta Recubierta Genfar,Colsubsidio,58150,58150,,ok,100,Producto coincide con el enlace esperado.,2026-05-20T05:51:35.591428+00:00,https://www.drogueriascolsubsidio.com/atorvastatina-40-mg-tableta-recubierta-genfar-7705959012755/p
atorvastatina 40 mg,Atorvastatina 40 Mg Genfar Caja X 30 Tabletas,Farmatodo,66000,132000,50.0,ok,100,Producto coincide con el enlace esperado.,2026-05-20T05:51:35.300190+00:00,https://www.farmatodo.com.co/producto/226350505
azitromicina 500 mg,Azitromicina Genfar 500 Mg Caja X 3 Tabletas,Farmatodo,13244,15050,12.0,ok,100,Producto coincide con el enlace esperado.,2026-05-20T05:51:35.351584+00:00,https://www.farmatodo.com.co/producto/1002479-azitromicina-genfar-500-mg-caja-x-3-tabletas
azitromicina 500 mg,Azitromicina 500 mg Tableta Recubierta Genfar,Colsubsidio,14350,14350,,ok,100,Producto coincide con el enlace esperado.,2026-05-20T05:51:35.634054+00:00,https://www.drogueriascolsubsidio.com/azitromicina-500-mg-tableta-recubierta-genfar-7702605100491/p
azitromicina 500 mg,Azitromicina 500Mg Tableta Rec Caja X 3 Mk,Cruz Verde,16292,17150,5.0,ok,100,Producto coincide con el enlace esperado.,2026-05-20T05:51:35.491416+00:00,https://beta1.cruzverde.com.co/azitromicina-500mg-tableta-rec-caja-x-3-mk/COCV_75213.html
